reviewTime,unixReviewTime,reviewerID,image,asin,reviewText,style,overall,summary,reviewerName,vote,verified
"03 9, 2013",1362787200,A38NS6NF6WPXS,,B00007GDFV,This brand has been around a long time and you can count on good quality merchandise.  Held up well with no rips or stitching problems!,{'Color:': ' Black'},4,BUXTON QUALITY!,BTDoxies,,TRUE
"01 27, 2013",1359244800,A1KOKO3HTSAI1H,,B00007GDFV,I smoke 100's and these are NOT made for them.  I can get my cigarettes in it but it won't close. I was very disappointed.,{'Color:': ' Black'},2,Buxton Heiress Collection Black Leather Cigarette case,Robin Howard,,TRUE
"01 4, 2013",1357257600,A1G3S57JGZNPCL,,B00007GDFV,"cheap and cheesy, but i guess i could have expected that for the price, won't purchase another without seeing first",{'Color:': ' Black'},1,inexpensive case,kimberly a schotthoefer,,TRUE
"07 30, 2012",1343606400,AGBL3TTP6GV4X,,B00007GDFV,"I ordered a ladies cigarette case for my wife, and a pack of Marlboro 100's would not fit in the case!!!!  I was ripped off!!!  A cigarette case should be able to hold any cigarette pack!!!!  I will not do business with Silverhooks again!!!!

It's not even worth the postage to send it back!!!!

Dissatisfied big time!!!!",{'Color:': ' Black'},1,i was ripped off!!!!,gallina,,TRUE
"03 12, 2010",1268352000,A1Y36BSE9GKXLV,,B00007GDFV,"Received the case in less than a week...was very satisfied with the product...only one problem...not really a problem with product, but with price as inside the product was a Buxton tag that showed sugg retail at $9.99 and I paid $11.99.  Hmmm...didn't quite understand this, but what are you going to do?!  Beware...as I think that had I gone to the Buxton web site I may have been able to obtain the same product for the sugg retail price.",,4,Great bargain,Ms Irish,2,TRUE
"10 31, 2017",1509408000,A1L1U968VNYVA4,,B00007GDFV,Love it but it tore up shortly after I got it. I ordered two and they both tore at the part that connects to the metal. Great seller though. Very prompt.,{'Color:': ' Black'},3,Love it but it tore up shortly after I got ...,J.G.,,TRUE
"10 24, 2017",1508803200,A1NSKPSR0XZ0C9,,B00007GDFV,I love it it is just what I was looking for thank you!,{'Color:': ' Black'},5,Perfect just what I was looking for!,Jules,,TRUE
"10 13, 2017",1507852800,A3O5SXH5O8DWRP,,B00007GDFV,"Quality product, I am very happy with my purchase.",{'Color:': ' Black'},5,I am very happy with my purchase,Debra Humphreys,,FALSE
"10 11, 2017",1507680000,A3I52T3ZCLRZZA,,B00007GDFV,"I like it except it is not quite big enough for the brand I smoke which is Salem Slim 100s.  They only come in the box type, I do tear the top of the box off but they still get a little smashed up at the filters.",{'Color:': ' Black'},4,I like it except it is not quite big enough for ...,Ann Bishop,,FALSE
"10 7, 2017",1507334400,A3VWTJR1QOI7JR,,B00007GDFV,It is smaller than what I was expecting. The zipper compartment is not big enough .,{'Color:': ' Black'},3,Three Stars,Amazon Customer,,TRUE
"09 17, 2017",1505606400,A1L5PG0YZ4TNSZ,,B00007GDFV,love it,{'Color:': ' Black'},5,Five Stars,karen puckett,,TRUE
"07 27, 2017",1501113600,A19OTBIPAMJUU1,,B00007GDFV,Don't like it. It will not hold my cigarettes. Not long enough.,{'Color:': ' Black'},1,One Star,Constance J Tomazic,,TRUE
"07 16, 2017",1500163200,A3IT0MD9QUFZEK,,B00007GDFV,love,{'Color:': ' Black'},4,Four Stars,Amazon Customer,,TRUE
"07 2, 2017",1498953600,A1IER9LE7FBJ95,,B00007GDFV,Wonderful item. I have purchased several of these. They last forever unless you lose them.  I am happy with my purchase Buxton is made to last.,{'Color:': ' Black'},4,Made to last,Angel3954,,TRUE
"06 27, 2017",1498521600,A3DZQ7TB4ZUWKG,,B00007GDFV,"I just love it! I think this is my six or seven case from Buxton. They are very stylish, durable and proper if you don't want your cigarette packet crushed inside your purse",{'Color:': ' Black'},5,LOVE IT!,yolanda hernandez,,TRUE
"06 22, 2017",1498089600,A199RALD1NLRC1,,B00007GDFV,made well but will only hold a small pack of ciggs I don't smoke I use  this as a tip holder for work I bought a different one last year but it is falling apart so I replaced it with this brand.  The zipper compartment won't hold anything its to small,{'Color:': ' Black'},4,made well but will only hold a small pack of ...,Joni,,TRUE
"06 8, 2017",1496880000,AGKFQHYCZNM4C,,B00007GDFV,"I've ordered quite a few cases from Amazon and this one is my favorite!!
Beautiful, slim and perfect for smaller handbags!",{'Color:': ' Black'},5,... few cases from Amazon and this one is my favorite!! Beautiful,BB,,TRUE
"05 29, 2017",1496016000,A3U5MNMZSEDZZP,,B00007GDFV,Holds my cigarettes and it is durable and looks great.,{'Color:': ' Black'},5,Perfect,Mark St,,TRUE
"05 28, 2017",1495929600,A3BAY1QXF3EWNZ,,B00007GDFV,Does not hold 120s to small for a lighter,{'Color:': ' Black'},1,One Star,yolanda,,TRUE
"05 5, 2017",1493942400,A2Z3HHIK3TTV0G,,B00007GDFV,"It fits my cigarettes, however very cheep material and smaller than the usual size of these. I would never purchase another one. It seems like a dollar store item",{'Color:': ' Black'},1,Smaller in size than usual cigarette pouch,Amazon Customer,,TRUE
"04 26, 2017",1493164800,A2EUX33TUV4ZDT,,B00007GDFV,Terrible quality,{'Color:': ' Black'},1,One Star,Amazon Customer,,TRUE
"04 26, 2017",1493164800,A1L18RRN4JRM9X,,B00007GDFV,nice but does not fit 100s,{'Color:': ' Black'},3,Three Stars,Maria T Franklin,,TRUE
"04 22, 2017",1492819200,A250EKRI26TIFN,,B00007GDFV,Good quality,{'Color:': ' Black'},4,Four Stars,Angie Qualls,,TRUE
"03 29, 2017",1490745600,A2MNX0U99140FN,,B00007GDFV,I like the case.  A lighter fits in the opening without a problem,{'Color:': ' Black'},4,Four Stars,Pat,,TRUE
"03 18, 2017",1489795200,AY49M8RQ2DQEZ,,B00007GDFV,"I love it , it is the first one that I have found too fit the 120's cigerette's. Thanks so much for finding this case for me.",{'Color:': ' Black'},5,"I love it, it is the first one that I ...",Dawn Babineaux,,TRUE
"02 1, 2017",1485907200,A3AEN8LPIEP9M3,,B00007GDFV,I love it thank you,{'Color:': ' Black'},5,Five Stars,Amazon Customer,,TRUE
"01 26, 2017",1485388800,A2B9FMHID9LQIP,,B00007GDFV,nice but to small for my 100s cigs,{'Color:': ' Black'},3,Three Stars,Carolynmlubbe,,TRUE
"01 25, 2017",1485302400,A1ERA1AO8X51GM,,B00007GDFV,"Says it fits 100s, nut does not",{'Color:': ' Black'},1,Great for reg size cigarettes,Amazon Customer,,TRUE
"01 17, 2017",1484611200,A3SV82X8L7P7BC,,B00007GDFV,"The outside pocket isn't wide enough for my needs, but these are SO HARD TO FIND anymore.",{'Color:': ' Black'},4,Four Stars,Amazon Customer,,TRUE
"01 7, 2017",1483747200,A1R3T24ZJPSON4,,B00007GDFV,Excellent product!,{'Color:': ' Black'},5,Five Stars,Paul A Ladd,,TRUE
"12 22, 2016",1482364800,A2WMR9TYUUTERH,,B00007GDFV,Excellent product and service! Thank you!,{'Color:': ' Black'},5,Five Stars,Danette,,TRUE
"12 16, 2016",1481846400,A3G58CS3X3Y2GN,,B00007GDFV,Perfect cigarette case.  These are so hard to find anymore that I was delighted with it.,{'Color:': ' Black'},5,Five Stars,Jane H. McGarity,,TRUE
"11 16, 2016",1479254400,A1200LTZD71U8Z,,B00007GDFV,"Too small, and my lighter falls out all the time",{'Color:': ' Black'},3,Three Stars,Sarah13,,TRUE
"10 25, 2016",1477353600,A1CAOCSFFXYLNY,,B00007GDFV,"It's ok, It doesn't close if you have 100's",{'Color:': ' Black'},2,Two Stars,Ann,,TRUE
"10 22, 2016",1477094400,A39QCH6O2YZDW3,,B00007GDFV,"Nice quality, but a little small for 100's.  Would be great for shorts.",{'Color:': ' Black'},4,Four Stars,Ann H.,,TRUE
"10 18, 2016",1476748800,A1UXETM1SKWGUA,,B00007GDFV,Exactly what I wanted. THANKS,{'Color:': ' Black'},5,Five Stars,Carlene Humphreys,,TRUE
"10 11, 2016",1476144000,A2UBF08AD81451,,B00007GDFV,"Just what I order,beru pleased.",{'Color:': ' Black'},5,beru pleased.,CAROL,,TRUE
"09 26, 2016",1474848000,A3GUR769R24GT6,,B00007GDFV,all leather,{'Color:': ' Black'},5,Five Stars,denise clark,,TRUE
"09 14, 2016",1473811200,ANKPT4Y83UPES,,B00007GDFV,This works so very good to keep your cig.. lighter ans anything else you may want to eep in it,{'Color:': ' Black'},5,This works so very good to keep your cig,Amazon Customer,,TRUE
"09 11, 2016",1473552000,A1G296RX7P6LE2,,B00007GDFV,Perfect size and really nice!,{'Color:': ' Black'},5,Five Stars,Karol C. Mannherz,,TRUE
"08 20, 2016",1471651200,A314QCYP9B2GWL,,B00007GDFV,Awesome,{'Color:': ' Black'},5,Five Stars,Cindy Reaux,,TRUE
"08 2, 2016",1470096000,A3DPAXQ6HGRS3W,,B00007GDFV,"Soft leather, very well made.",{'Color:': ' Black'},5,Five Stars,lara weber,,TRUE
"07 30, 2016",1469836800,A1JOKKNG15VE62,,B00007GDFV,great!!,{'Color:': ' Black'},5,great!,Amazon Customer,,TRUE
"07 21, 2016",1469059200,A15J2WC6RKXTJF,,B00007GDFV,Great,{'Color:': ' Black'},5,Five Stars,Linda Staaf,,TRUE
"05 11, 2016",1462924800,ALJEJH7DMUVB0,,B00007GDFV,NOT GOOD FOR ME I THOUGHT IT WAS 100 PK,{'Color:': ' Black'},1,One Star,Pearl Hodge,,TRUE
"05 6, 2016",1462492800,A17MLTZBHMAWJB,,B00007GDFV,"Lining in lighter pocket tore within a very short time, had to dab a little contact adhesive between lining and leather to hold it in place and stop it bunching and snagging lighter. Purchased one black one brown, black one used most and has no centre seam down front lighter or rear coin pockets. Brown one has (pointless) decorative centre seam (as usually illustrated) front and rear. Front seam stitching has no reinforcing at lighter pocket opening. Looks likely to give trouble sooner rather than later. Leather is good and solid. Size is spot on for regular (84mm) packs of 20 (after a little use). O.k., But not the ""premium product"" I used to associate with the Buxton name many years ago.",{'Color:': ' Black'},3,Could be better.,Daryl,,TRUE
"03 10, 2016",1457568000,A1ALMLGB7P0P9W,,B00007GDFV,Good product but not for 100's or 120's.,{'Color:': ' Black'},4,Decent product,Theodore John,,TRUE
"09 17, 2015",1442448000,A766YIHEB710J,,B00007GDFV,Too small,{'Color:': ' Black'},1,One Star,stacey echols,,TRUE
"09 3, 2015",1441238400,A1C4CHINHZ2DQZ,,B00007GDFV,"I like this case, but I smoke 100's and it is a little tighter fit than I would like. Otherwise it seems great quality",{'Color:': ' Black'},4,I like this case,Debbie Accardo,,TRUE
"08 19, 2015",1439942400,AS0MJDADR27QL,,B00007GDFV,Nice case but not really large enough for the 100's cigarettes,{'Color:': ' Black'},3,Three Stars,Leslie Story,,TRUE
"08 15, 2015",1439596800,AYUZJQLVLF3QS,,B00007GDFV,"Great buy...the case is very soft and fits kings only, which is what my mom wanted... only problem is shipping, it arrived over a week later than was promised because it was sent all over the US I stead of straight to me...",{'Color:': ' Black'},5,Great case... very soft,Kara Padgett,,TRUE
"08 5, 2015",1438732800,A2W0ONN65O2TYF,,B00007GDFV,"Good, just what I expected.",{'Color:': ' Black'},4,Four Stars,Chip,,TRUE
"07 18, 2015",1437177600,A22PZ25GW4W3BB,,B00007GDFV,Bought this for my mom as hers was really worn out. Like the added addition of the zipper pocket!,{'Color:': ' Black'},4,tried and true!,Susan,,TRUE
"06 4, 2015",1433376000,AY7PVQ0RIC71D,,B00007GDFV,"I had been looking for a replacement for a cigarette case I'd had for over 25 years and lost. After reviewing several I settled on this one. It was very well made, the leather was soft, not stiff or cheap looking. I loved the little front pocket that kept my lighter handy and easy to keep up with. There is even a small zippered pocket for change or whatever else. I was very pleased with it. Unfortunately, I had not read the description well enough and I discovered this case DOES NOT fit the 100's. It was such a nice case that I gave it to my daughter rather than return it. She has been more than pleased with it. I'm hoping the new one I have ordered is as nice.",{'Color:': ' Black'},5,Better than I expected,Debra McCarty,8,TRUE
"06 2, 2015",1433203200,A19CJ70DU6QCFL,,B00007GDFV,It's just what I wanted.,{'Color:': ' Black'},5,Five Stars,Larry Du Bois,,TRUE
"05 15, 2015",1431648000,A3M8TFXX7X72B8,,B00007GDFV,Pretty wallet but to small for the cigarettes,{'Color:': ' Black'},3,Three Stars,sherry millican,,TRUE
"05 11, 2015",1431302400,A3T2YVSZDD3CM7,,B00007GDFV,"I was disappointed to find the my 100's won't fit in this case. Otherwise, it was exactly what I wanted. If there is a bigger one just like this, I wish someone would point it out to me. I'd buy it in a heartbeat!",{'Color:': ' Black'},3,"Too short, but lovely material",Rebecca M Overbay,,TRUE
"05 11, 2015",1431302400,AVOQ2D9EYXWGR,,B00007GDFV,Is very small. Doesn't  fit my smokes...,{'Color:': ' Black'},2,Way to small for purpose.,Lisa Grenier,,TRUE
"05 7, 2015",1430956800,A3P1G82E27TSGT,,B00007GDFV,Worked great for my 100's I smoke.  Leather was supple and would definitely buy again. I wish It came in RED or PURPLE. Black is sooo hard to find in a black lined purse.,{'Color:': ' Black'},5,100's FIT!,Julie B. Cannon,,TRUE
"04 26, 2015",1430006400,AQGQYBQYR3STV,,B00007GDFV,"Perfect leather cigarette case/purse, if you smoke the shorties. I gave this 4 stars because I didn't read the fine print where it said it will not accommodate Lights 100s aka the longer cigarettes.",{'Color:': ' Black'},4,Not for the longer variety cigarettes.,YaYa,,TRUE
"04 16, 2015",1429142400,A3TLFFGO88RXWZ,,B00007GDFV,Hard to find and still the best,{'Color:': ' Black'},5,Five Stars,Brebojack,,TRUE
"03 21, 2015",1426896000,A1VGWYY619A5XP,,B00007GDFV,a little to short but will work,{'Color:': ' Black'},4,Four Stars,Jacqueline Pendry,,TRUE
"03 19, 2015",1426723200,A3T0AMZM20RB0Q,,B00007GDFV,"Purchased 2 cases, the quality of the leather is really good, I just wish the case was a little larger,once you put your cigarettes and lighter in the case you don't have any room
to put anything in the little side zip pocket.",{'Color:': ' Black'},4,Buxton Heiress Cigarette Case,JW,,TRUE
"03 17, 2015",1426550400,AY7JAF0XNNP2Y,,B00007GDFV,doesn't fit 100's,{'Color:': ' Black'},2,Two Stars,sandi,,TRUE
"03 6, 2015",1425600000,A19IPL5EJ0LPXM,,B00007GDFV,It does not fit 100's,{'Color:': ' Black'},2,Two Stars,Winnie,,TRUE
"02 2, 2015",1422835200,A27FYT0ON5V4YP,,B00007GDFV,"This product is not a good fit as it does not hold 100s, so I have to send it back.",{'Color:': ' Black'},1,This product is not a good fit as it does not hold 100s,melissa gelb,,TRUE
"01 13, 2015",1421107200,A1HUT1KXYIX10E,,B00007GDFV,Love this case I have had about 10 of them over the years so glad you carry them,{'Color:': ' Black'},5,Five Stars,John killmore,,TRUE
"01 9, 2015",1420761600,A1C9V3D7VQY0N0,,B00007GDFV,I ordered black got brown not happy!,{'Color:': ' Black'},1,Wrong color,NBJ,,TRUE
"10 9, 2014",1412812800,A10FS7ZU5TZX5U,,B00007GDFV,Buxton has always used quality leather in all of the products they have offered over the years and they still do. The case is very well constructed and should last many years.,{'Color:': ' Black'},5,Quality,incognito,,FALSE
"09 11, 2014",1410393600,A3RIJKIV3O22D7,,B00007GDFV,barely holds a pack of 100's but would be better if i smoked regulars,{'Color:': ' Black'},4,Four Stars,Kristi Brown,,TRUE
"09 5, 2014",1409875200,AP8XUU73JEDOD,,B00007GDFV,Very pleased with this cigarette case. I've had the exact same one before but I lost it. It holds up really well compared to some other cases I've owned. You won't be sorry if you purchase this and the price is right.,{'Color:': ' Black'},5,Love it !!!,luv2sing,,TRUE
"08 19, 2014",1408406400,A1N8J8NF8LKHMZ,,B00007GDFV,Perfect and durable. I love the look and feel of this case. I have purchased two different colors and considering a third. Love it!,{'Color:': ' Black'},5,Great case!,Mrs.Dennis,,TRUE
"08 2, 2014",1406937600,A3AME91RJHPFCF,,B00007GDFV,Great value at price.,{'Color:': ' Black'},4,Four Stars,DumDum,,TRUE
"07 29, 2014",1406592000,A3I3NVZFMPFN0L,,B00007GDFV,"Well made, nice leather too!",{'Color:': ' Black'},5,Handy item!,Jeanne G.,,TRUE
"07 15, 2014",1405382400,A2YOEYF1R5Y3ZK,,B00007GDFV,"IT IS ATTRACTIVE, BUT IT'S ON THE SMALL SIDE. MY CIGARETTES DO FIT IN THERE, BUT WITH FORCING. THE LONGER THAT I USE IT, THE MORE IT STRETCHES OUT SOME. IT'S NOT AS TIGHT AS IN THE BEGINNING.",{'Color:': ' Black'},3,"IT IS ATTRACTIVE, BUT IT'S ON THE SMALL SIDE ...",SHERRI J,,TRUE
"05 28, 2014",1401235200,AM30JIRURQZHW,,B00007GDFV,"I bought this for a relative of mine. I haven't seen it as I sent it to her in another state. But She said that she really likes it, is very happy with it. Its just what she wanted.  it is made very well.",{'Color:': ' Black'},5,very nice,Joanne Mckenna Simoneau,,TRUE
"05 8, 2014",1399507200,A3F3OTRNPZ5735,,B00007GDFV,"I cannot believe this case cost as little as it did.  I was skeptical of what the quality was going to be like after I ordered it.  When I received it I was amazed because it is real leather and it looks fabulous.  It is a little snug if you try to put a hard pack in it but all you have to do is tear off the top off the cigarettes and they fit.

GREAT BUY",{'Color:': ' Black'},5,More than worth it,Patty Church,,TRUE
"04 15, 2014",1397520000,A1K7SS85XHUHN9,,B00007GDFV,"I ordered the Buxton Heiress collection Black  Leather cigarette Case with lighter pocket, instead I received Urban Express Sandra Framed Wallet, Pewter, the  wallet is mismarked, The code bar on the wallet is for  the Buxton Cigarette case, just wrong merchandise, I am returning it in exchange for the Black Heiress collection cigarette case that I ordered, as for your merchandise I am very happy with it,",{'Color:': ' Black'},5,Received wrong Item.,Beryl Blessing,,TRUE
"03 1, 2014",1393632000,A3F4Y6VLM65ENP,,B00007GDFV,"The material did not feel like leather at all.  Felt very cheap and plasticy and like it would rip very easily.  Returned this.
The seller however was great - very quick shipping and return processing.",{'Color:': ' Black'},1,Felt very cheap,Crist P,,TRUE
"02 22, 2014",1393027200,A3A91NZUKX73XR,,B00007GDFV,"would not hold box she did not like it too small
would not tell anyone else to buy this product",{'Color:': ' Black'},1,too small,michael p woodland,,TRUE
"02 9, 2014",1391904000,A3NFKIEHPH3804,,B00007GDFV,Bought this for my wife and did not read the fine print. I thought it safe to assume a women's cigarette case would hold 100's. Not the case (pardon the punn). so I had to return this and buy the correct size which of course can be found on Amazon.,{'Color:': ' Black'},1,Does Not Hold 100's,Adam Upson,,TRUE
"01 29, 2014",1390953600,A2YOE75F9F3J9G,,B00007GDFV,"This was a gift, and the recipient loved it. It suits the purpose it was intended for when I purchased it.",{'Color:': ' Black'},4,Recipient Was Happy,Mare,,TRUE
"01 3, 2014",1388707200,A177PJCG55V7VC,,B00007GDFV,this was a gift and the party was very happy with it  only if could be a little larger for larger pkg. .leather was  very soft.,{'Color:': ' Black'},5,dressie look,alice,,TRUE
"12 17, 2013",1387238400,ADJHG92KR09E5,,B00007GDFV,Smaller than my previous case that was the same brand ect...  Quality is good as always. Just wish it had been larger.,{'Color:': ' Black'},3,Too small,Ruby A. Judy,,TRUE
"11 21, 2013",1384992000,A2OQYZLYAY56CG,,B00007GDFV,I use the same case for my smokes. the last one lasted 6 years that's why I always buy this one! love it,{'Color:': ' Black'},5,Always,Diana D.,,TRUE
"08 5, 2013",1375660800,A18OTKD24P3AT8,,B00008JOQI,"We tried these shirts in the pinpoint fabric, but after washing they are the worst wrinkled shirt I have ever tried.  I have a steam dryer and it looks like it was rolled into a ball wet and then dried, awful!  The quality is fine, but if you iron your own shirts beware.  Probably okay if you use the cleaners.",,1,Paul Fredrick dress shirt VERY hard to iron,cynthia scarfo,7,FALSE
"07 22, 2017",1500681600,A6NHYSECVGF1O,,B00008JOQI,Hard to find shirts that are not non-iron (which don't hold up well to commercial laundering) anymore. These are good.,"{'Size:': ' 17 - 37', 'Color:': ' White'}",5,Perfect. Hard to find shirts that are not non-iron,David Edwards,,TRUE
"07 17, 2017",1500249600,A1BB1HMMA1GAX8,,B00008JOQI,"Below average for the money.  The button holes are poorly finished and the fabric is thin enough that you'll want to wear an undershirt.  I have no doubt it'll shrink badly if washed.  There is NO wrinkle control so it arrived folded but looked like an old rag when unpackaged.  This just adds to the fact it's cheap material.  I see this as a dry clean only occasional use dress shirt.

The sad thing is their other shirts may use better material but if they don't and I paid $69 for a shirt of this quality I'd return it.  My search continues for a good quality dress shirt at a reasonable price!","{'Size:': ' 16.5 - 33', 'Color:': ' White'}",2,Below expectations,Rider for Life,,TRUE
"04 22, 2017",1492819200,AH0JJ8U0ZD5MW,,B00008JOQI,The fit was a bit awkward for my athletic body type.  Fabric quality overall is good.,"{'Size:': ' 16.5 - 37', 'Color:': ' Grey'}",3,Fabric quality overall is good.,Coldmountain,2,TRUE
"12 19, 2016",1482105600,A2B8OK6BF131MR,,B00008JOQI,Great style with quality fabric and nice fit,"{'Size:': ' 16 - 35', 'Color:': ' Blue'}",5,Love These Shirts,CLM,,TRUE
"09 2, 2016",1472774400,AL5UUEGXJFDGU,,B00008JOQI,Good quality,"{'Size:': ' 19 - 35', 'Color:': ' White'}",5,Five Stars,Troy K,,TRUE
"08 27, 2016",1472256000,A9V8024463QJ8,,B00008JOQI,Does not perform nearly as well as other cotton no iron shirts. Wrinkles badly,"{'Size:': ' 16 - 34', 'Color:': ' White'}",1,One Star,David H Cohn,,TRUE
"08 26, 2016",1472169600,A2I41T5MWHC5P6,,B00008JOQI,Great quality and comfortable to wear,"{'Size:': ' 18 - 36', 'Color:': ' White'}",5,Five Stars,Chris S,,TRUE
"08 9, 2016",1470700800,A3JBQ1G40K4PTB,,B00008JOQI,Great shirt with specific sleeve length.  Not 34/35 mess.,"{'Size:': ' 16 - 34', 'Color:': ' White'}",5,Good Buy,Richard Soliz,,TRUE
"07 27, 2016",1469577600,A2AOVBHOW6G16W,,B00008JOQI,"A bit smaller fit than some of the other brands I have bought, and a bit Short on the tail. nice shirt though","{'Size:': ' 18.5 - 36', 'Color:': ' White'}",3,nice shirt,Michael Briggs,,TRUE
"07 23, 2016",1469232000,A2FWCK87TGOTW3,,B00008JOQI,"Good quality shirt, fit as expected.","{'Size:': ' 18.5 - 37', 'Color:': ' White'}",5,Good quality shirt,Luis Chang Prado,,TRUE
"07 10, 2016",1468108800,A171RNFRNY9HNI,,B00008JOQI,"As other reviewers have said, this shirt fit fine out of the package, but with one washing (yes, I read the label directions), the shirt sleeve shrank significantly in length (more than 1"", leaving no cuff exposure possible on me with a jacket), and the collar shrunk enough to be uncomfortable to button. Still fine for a use as a casual shirt with some jeans, it seems well made and with a comfortable fabric, but the shrinkage makes this an unacceptable product for a dress wardrobe. That's really a shame, because the shirt feels great otherwise.","{'Size:': ' 17 - 35', 'Color:': ' White'}",2,"Shrinks excessively when washed, unacceptable as a staple of your dress wardrobe.",Patrick Rigney,4,TRUE
"05 26, 2016",1464220800,A2BGZMJMR6AF42,,B00008JOQI,"This shirt was the right size when it arrived.  After I washed it once in cold water, it shrank excessively.  The sleeves shorten by one and a half inches.  I would not recommend this shirt or anything else from this vendor.","{'Size:': ' 17 - 34', 'Color:': ' White'}",1,Shrinks too much,Loran,3,TRUE
"05 18, 2016",1463529600,A2O4K7BUGQGXT9,,B00008JOQI,It's ok,"{'Size:': ' 17.5 - 37', 'Color:': ' White'}",3,Three Stars,EMAD ANWAR,,TRUE
"05 18, 2016",1463529600,A9417A2907DK7,,B00008JOQI,"This shirt came slightly soiled apparently from the automatic folding machines.  Paul Frederick customer service was easy to deal with.  However, the shirt ran a bit small.  The supposed 35"" sleeves were barely long enough, and my husband has consistently worn a 16-1/2 x 35 shirt size for years.  Be aware that there is no wrinkle-guard protection in this all-cotton shirt.  I didn't notice that when ordering, and it was a challenge to iron the ""rumpled look"" out.","{'Size:': ' 16.5 - 35', 'Color:': ' Ecru'}",3,Paul Frederick customer service was easy to deal with,Oregon Ollie,2,TRUE
"05 8, 2016",1462665600,AT8LD1QU5B9CC,,B00008JOQI,"Great fit, great deal ... classic shirt!  The Paul Fredrick line does it again!","{'Size:': ' 19 - 36', 'Color:': ' Blue Stripe'}",5,Perfect shirt!,dwebbslc,,TRUE
"03 16, 2016",1458086400,A2EWAKLL1ACXGO,,B00008JOQI,Great material and feel.  Somewhat snugger around the waist vs other regular fit oxfords.,"{'Size:': ' 16 - 34', 'Color:': ' Blue'}",4,Four Stars,Amazon Customer,,TRUE
"03 2, 2016",1456876800,A3TEQGNN0AFHUM,,B00008JOQI,Shirt is ok ok neck and sleeve but the body is too big,"{'Size:': ' 15 - 32', 'Color:': ' Blue Stripe'}",2,Too big,jochy1,,TRUE
"01 15, 2016",1452816000,A2KB1EK5N1IVLO,,B00008JOQI,Shirt fit fine out of packaging. Washed according to instructions. Shirt Shrunk and could not be buttoned.,"{'Size:': ' 19 - 37', 'Color:': ' French Blue'}",1,One Star,VMax66,2,FALSE
"12 9, 2015",1449619200,AAQO19HKS86MQ,,B00008JOQI,Nice shirt,"{'Size:': ' 19 - 37', 'Color:': ' Blue'}",4,Four Stars,Nina W.,,TRUE
"10 14, 2015",1444780800,A23FAZEVCMA39K,,B00008JOQI,Fits too big,"{'Size:': ' 16.5 - 32', 'Color:': ' Ecru'}",2,Two Stars,John Meetz,,TRUE
